1,2022-09-09 09:51:49+00:00,real bosslady folded hands mediumlight skin toneher dedication and commitment will missed rip hrh queen elizabeth toronto ontario
2,2022-09-09 03:04:00+00:00,posted reposted from may they rest peace and power folded hands dark skin tonehonorthem toronto ontario
3,2022-09-09 02:15:19+00:00,reporting today with for the death queen elizabeth was outside james anglican cathedral old town toronto friend and neighbour john stewart stopped met her majesty twice and offered some memoriesqueenelizabeth
4,2022-09-08 23:45:04+00:00,the choir practicing tonight for longplanned memorial for queen elizabeth will take place date announced her majesty visited james cathedral three times most recently july after which she attended the queen plate horse race
5,2022-09-08 19:12:20+00:00,rip your royal majesty cry toronto ontario
6,2022-09-08 17:48:43+00:00,the flags are being lowered half mast after the death queen elizabeth onpoli
7,2022-09-08 17:48:17+00:00,rest peace her majesty queen canada flag for canada
8,2022-09-08 17:48:08+00:00,today the saddest day for and the world that queen elizabeth has died thank you for years service your majesty ripqueenelizabeth
9,2022-09-08 17:46:55+00:00,say what you want about her majesty and the royals but what queen elizabeth did her lifetime was beyond anything people today could handle rip crown
10,2022-09-08 17:45:30+00:00,deepest condolences thoughts and prayers you all your loss may she rest peace
11,2022-09-08 17:44:35+00:00,rip most loved woman mother and queen heartheartheart
12,2022-09-08 17:43:26+00:00,right leave alone did not this her majesty
13,2022-09-08 17:43:17+00:00,rip queen elizabeth folded hands mediumlight skin tone
14,2022-09-08 17:42:55+00:00,rest peace crown folded hands mediumlight skin tone
15,2022-09-08 17:42:32+00:00,service exemplified may she rest peace
16,2022-09-08 17:42:23+00:00,god save the king thank you your majesty queen elizabeth for lifetime service shall never see anyone like her again
17,2022-09-08 17:40:37+00:00,first trip england the queen gave heartwarming speech the rest peace queen elizabeth
18,2022-09-08 17:40:21+00:00,rest peace your majesty queenelizabeth
19,2022-09-08 17:40:16+00:00,rip her majesty praypraypray
20,2022-09-08 17:40:02+00:00,rip lizzie
21,2022-09-08 17:39:38+00:00,rest peace queen canada
22,2022-09-08 17:38:51+00:00,rest peace your majesty god save the queen flag for united kingdomregional indicator
23,2022-09-08 17:38:35+00:00,people are extra instead just being like rip queenelizabeth they need write out history briefing why she horrible person like she just died can people have tiny bit respect
24,2022-09-08 17:38:26+00:00,queens elizabeth dead rip queen
25,2022-09-08 17:38:08+00:00,deepest condolences the royal family today such devastating news
26,2022-09-08 17:36:41+00:00,rip queen elizabeth folded hands light skin tone the end era crown
27,2022-09-08 17:35:07+00:00,rip liz disappointed
28,2022-09-08 17:34:47+00:00,rest peace queen elizabeth has just passes queenelizabeth
29,2022-09-08 17:34:28+00:00,heartbreaking news rest peace your majesty
30,2022-09-08 17:34:14+00:00,rip lizzie
31,2022-09-08 17:34:06+00:00,pleading facepleading facecryrip queen
32,2022-09-08 17:33:58+00:00,rest peace your majesty pensiveregional indicator
33,2022-09-08 17:33:26+00:00,rip queen lizzie
34,2022-09-08 17:28:11+00:00,thinking about the queen treats her death just like how beyonc treats her album releases
35,2022-09-08 16:54:03+00:00,between harry styles not being able british accent his new movie and the queen dying dont know england ever recovers from this
36,2022-09-08 16:31:18+00:00,thoughts are with her majesty queen elizabeth this time wishing her well and sending best the royal family flag for united kingdomregional indicator
37,2022-09-08 16:23:37+00:00,true you never actually see her majesty yes ministeryes prime ministeraside staying late watch ytv was the reason only ever saw the last half episodes keeping appearances
38,2022-09-08 16:14:39+00:00,break work watch the death music video face with hand over mouth
39,2022-09-08 15:59:24+00:00,god save her majesty our queen prayers and thoughts from canada flag for canada queenelizabethii godsavethequeen royalfamily
40,2022-09-08 15:54:42+00:00,has been wrapping her head around the concepts the queen and death lately happens fear there will shortly lot more questions
41,2022-09-08 15:50:12+00:00,know nothing about how the monarchy affects canada whats this gonna mean for pretty sure theyre announcing her death like hour
42,2022-09-08 15:41:53+00:00,got the rip bozo tweet sitting hot drafts don make delete
43,2022-09-08 15:39:07+00:00,the victims fascism and the comrades who fought against ethnic genocide imperialism oppression and death those that fought franco and came home ostracized
44,2022-09-08 15:21:59+00:00,will observing the days mourning her majesty deserves our tributes and praise this time
45,2022-09-08 14:56:40+00:00,death watch
46,2022-09-08 13:56:40+00:00,not the business rejoicing peoples deathhowever aint sad either them royals did some pretty bad stuff rid the whole royal line
47,2022-09-08 13:44:49+00:00,there going almost certainly interesting footage the shift the streetspublic spaces when people around england find out
48,2022-09-08 13:41:57+00:00,hard over emphasize how upsetting the death queen elizabeth will for the surviving british wwii generation like year old mom seems silly younger generations but the royals were deeply important the war generation
49,2022-09-08 13:28:15+00:00,deathlets real
50,2022-09-08 12:55:09+00:00,what are the odds that queen elizabeth already out office but the british royal family amp british gov bureaucracy are delaying official announcing til everyone ready amp the core royals like prince charles amp william are their assigned places when made public
51,2022-09-08 12:36:39+00:00,lord the media about elizabeth death literally
52,2022-09-08 03:54:49+00:00,happy birthday eazyduzit aka eazye rip blue heartdove peace
53,2022-09-08 00:44:20+00:00,thanks unfortunately hooked directly with paying this telecom company and all they rip off rogersoutage rogers mostexpensiveinternet
0,2022-09-09 17:11:23+00:00,god save the kingkingcharles kingcharlesiii
1,2022-09-09 04:56:46+00:00,the queen rip september buckingham palace
2,2022-09-09 03:44:26+00:00,rip queen elizabeth montreal quebec
3,2022-09-08 18:26:21+00:00,big incentive science and technology her majesty queen elisabeth acted upon call honor scientists and engineers balloon she will greatly missed hope prince charles the future king will follow her example
4,2022-09-08 17:45:23+00:00,the death queen elizabeth live updates charles immediately became king upon the death his mother heir apparent since the age three has been the longest serving heir the throne british history and hes divorcee
5,2022-09-08 17:38:34+00:00,breaking her majesty died balmoral castle minutes ago wiil harry her heir
6,2022-09-08 17:34:47+00:00,rip her majesty the queen heart
7,2022-09-08 10:21:55+00:00,folded hands medium skin tone rip beauties
8,2022-09-08 01:11:48+00:00,heartbroken hear that you have passed please run and frolic with all the other dogs over the rainbow bridge please watch over your family rip
0,2022-09-09 22:53:55+00:00,heartfelt tribute her majesty queen elizabeth from prime minister justin trudeauregional indicator
1,2022-09-09 22:35:32+00:00,was disrespectful when was there and completely ignored royal protocol doubt the royal family would want him there
2,2022-09-09 22:35:05+00:00,bard artistic director christopher gaze and his mother joy gaze join stephen quinn and other vancouver artists remember her majesty the queen listen arrow downwhite heart
3,2022-09-09 21:07:27+00:00,clinking glasses toast the queen clinking glasses was loss for words when she met her majesty elizabethii find out how she grabbed the queen attentionwatch
4,2022-09-09 19:36:07+00:00,once again bbc news takes controversial editorial stance kingcharles
5,2022-09-09 18:42:56+00:00,while wont criticize the eff their press release light queen elizabeth death one the best yet
6,2022-09-09 17:38:15+00:00,hardly side acknowledge awful about her death absolutely earned any judgement jests are grave dancing but for the people affected her policies her youth the institutions she represents its entirely different story
7,2022-09-09 17:10:44+00:00,such life service her majesty has given has there ever been more beloved monarch
8,2022-09-09 17:10:20+00:00,darling mamaheart queenelizabeth kingcharles
9,2022-09-09 16:17:27+00:00,very emotional day for everyone london whether you supported the royal family not think everyone just taking minute process and grieve says farah vancouver woman living london
10,2022-09-09 16:10:17+00:00,here projection screen for all you egocentric woke assholes making the queen death about your shtty contracted politics
11,2022-09-09 15:55:53+00:00,save the king kingcharles
12,2022-09-09 15:22:36+00:00,heartbroken the loss our selfless compassionate queen who dedicated her life the people the united kingdom flag for united kingdom and beyond earth africa without hesitation rest easy your majesty the company your lifelong love and the arms god godsavethequeen
